episode,avg_tilt_error_rad,avg_tilt_error_deg,std_tilt_error_rad,max_tilt_error_rad,max_tilt_error_deg,episode_reward
1,0.006818201359687539,0.3906541617804553,0.005198979503351657,0.03039304086305352,1.7413929680216158,1358.7821834385395
2,0.001748110596761688,0.10015935931654044,0.0016009180132990088,0.009749196719682149,0.5585878256805739,3922.6934866309166
3,0.005773792656878039,0.33081395102273786,0.007980865860222114,0.02886414201426217,1.6537935166834612,2388.914442718029
4,0.0036347503164567887,0.20825585271681435,0.0023465354860523167,0.022243908188367363,1.2744820590699428,2739.656430065632
5,0.004235574614022734,0.24268054919625534,0.005262549025117635,0.033312576529354945,1.908670039838602,3287.7205891013145
6,0.0020505100911221833,0.11748557407028695,0.00290502686049415,0.03281217863580486,1.8799993524609455,3896.833076238632
7,0.0032649332957234486,0.18706689823669193,0.003572613313262044,0.030673055900206827,1.757436647850699,3429.2126966118813
8,0.0036063085144093805,0.20662625749775132,0.004635896084452716,0.03858844644383959,2.2109551191986188,3421.7520947754383
9,0.0022311505863516173,0.12783551205608662,0.00529186566383655,0.05523767626226181,3.164885719937574,3924.187763631344
10,0.0036246033928720323,0.20767447682036608,0.006100030611291761,0.05818833625384347,3.3339460842333097,3380.392461836338
11,0.0033774542582176085,0.1935138744943571,0.005130562219194061,0.047437581561567285,2.7179732137854185,3407.2797326147556
12,0.0034512708062144144,0.19774325115279895,0.00683831950728093,0.09015796555844377,5.1656709159846645,3272.6985090970993
13,0.0037850410729381627,0.21686687876302552,0.008132467887853803,0.0763867305855153,4.376637273352906,3499.391987979412
14,0.00412462176437512,0.23632341918649746,0.006288166838074875,0.08582127957391764,4.917197111997781,3329.0953573584557
15,0.004233767028537382,0.24257698217683554,0.007743686142372216,0.10178315817226166,5.831745388783087,2819.7021585404873
16,0.008201357235658862,0.4699031558823325,0.01628956089253103,0.06663248331382822,3.8177600723582388,2851.83620595932
17,0.002690178604346866,0.15413588016546956,0.005745620015862758,0.09339649990090934,5.351225265616117,3587.8382819890976
18,0.0029135954478704713,0.16693672237150686,0.004420610971792609,0.05367652053318788,3.075438085498969,3495.179754167795
19,0.0039007920162120783,0.22349891928727908,0.00670670756016099,0.08423699984037976,4.8264245696979495,3155.7249177396297
20,0.00397747162714136,0.22789233736823217,0.006893800474549078,0.06923602047368874,3.9669317634237236,3196.1214260458946
21,0.004221054062387701,0.24184858287136615,0.00876394862734041,0.09432937849634646,5.4046752719327555,3283.3251710236073
22,0.004915407343747813,0.28163209538436035,0.010097579981275074,0.09189174424473927,5.265009117319132,3044.1114507615566
23,0.010284318743741909,0.5892480591836962,0.021958804538862585,0.23050695063635357,13.207075419893465,1559.1939053833485
24,0.018440397529647077,1.0565569509922468,0.0425419814881511,0.19580725960296924,11.218929573272597,1975.2110668122768
25,0.013738845447998858,0.7871778595528574,0.026188771765005964,0.15205259130562687,8.711971745840016,2449.076766192913
26,0.010563934432105565,0.605268858012579,0.01901126713770344,0.12912434827948066,7.398280188791575,2712.293167591095
27,0.004853539822774131,0.2780873475436313,0.013445229951029527,0.1626517062397809,9.319256298141122,3184.8929465711117
28,0.01179563282239347,0.6758399774091332,0.021473005385064657,0.1460545624508823,8.368310007065466,2485.9635196328163
29,0.015339684037132394,0.8788991543918862,0.03147729627883606,0.3273343807773116,18.754878508068177,2115.9648274183273
30,0.004844954731531617,0.27759545804870045,0.012958693655267788,0.14111326341599315,8.08519442705425,3300.157132536173
31,0.0052029696976328785,0.29810820460882204,0.019122412285703695,0.2502217048188169,14.336647628686501,3386.1225158572197
32,0.02578278293504233,1.4772446462798468,0.052524924927287435,0.26214055467377734,15.019547422025848,1890.770379781723
33,0.017974229442292197,1.0298474870431265,0.038639828691878264,0.35544046310032423,20.36523840382405,1954.268091648817
34,0.0241166244877421,1.3817807992494733,0.051499670252550346,0.4160289784155985,23.836704618353018,1852.2242626845837
35,0.02227292929416469,1.2761448459489324,0.049739976014660035,0.2577239262390657,14.7664932530394,2206.886686682701
36,0.011210669325311659,0.6423240378571322,0.027978632522638974,0.2765437464176199,15.8447895204657,2440.9427374601364
37,0.019284542703915646,1.1049229067741713,0.04411666919974041,0.33736521906351147,19.329603206845672,2657.9026080071926
38,0.018309077628592997,1.0490328748957725,0.037947839002625765,0.2298322566510961,13.16841830207535,2633.9827601611614
39,0.02834072570911225,1.623803971470039,0.0571623096196978,0.4076512134735859,23.356694045423033,1342.948980152607
40,0.03178996955806301,1.8214310865263772,0.06621855749993129,0.40422025176601023,23.16011441990795,1640.7289187014103
41,0.018286464140462196,1.0477372174658084,0.03933663973586629,0.29285329098791046,16.779257590123855,2223.4253807365894
42,0.016501397494179684,0.9454604324842484,0.03831722536751789,0.31210508452837665,17.88230410804979,2748.8411447405815
43,0.016198569359456953,0.9281096584468167,0.03432367490401786,0.2572028402415282,14.736637224617136,2715.0314088463783
44,0.013689215916977991,0.7843342968861481,0.04255441801804059,0.4204634945664881,24.09078367798159,2595.4436458051205
45,0.024131258528659615,1.3826192680312686,0.05510389323951238,0.3383792452216683,19.38770262602392,2209.6315669715405
46,0.03042627909184995,1.7432973782501413,0.06167823408545483,0.3408490061441217,19.52920950328684,1636.256266117096
47,0.024610055765971004,1.410052328971735,0.04726032626008274,0.2255791991534504,12.924736057433782,1674.6038267314434
48,0.012879777834316212,0.7379569109724666,0.034172546621341934,0.3012791846777903,17.262025737179883,2546.7037513256073
49,0.010907308595050154,0.6249427483431413,0.025361480119942152,0.21703667403203097,12.435285421591967,2782.2176387906075
50,0.03225276579383106,1.847947357610428,0.07226371052208154,0.2883475977077897,16.521100381392483,1841.5203404724598
51,0.02249801812142952,1.2890414857667565,0.047091121734894686,0.3567705577731666,20.44144721493075,2069.6996987760067
52,0.009916624344610053,0.5681807219628421,0.02105202074617549,0.18911287530705811,10.835369606678233,3005.508517831564
