timestamp,folder,folder_path,input_csv,output_csv,agg_csv,status,error,rows_before,rows_after,dropped_steps_le_100,dropped_timeout_steps_gt_2300_reward_lt_0,modified_steps_ge_1800_to_complete,completed_count_after
2026-03-03 13:01:12,stage3_complex_mlp_dynamic_lqr_logs,E:\Code\python\HRRL2\model\stage3_complex_mlp_dynamic_lqr_logs,E:\Code\python\HRRL2\model\stage3_complex_mlp_dynamic_lqr_logs\rl_training_errors.csv,E:\Code\python\HRRL2\model\stage3_complex_mlp_dynamic_lqr_logs\stage3_complex_mlp_dynamic_lqr_logs_rl_training_errors.csv,E:\Code\python\HRRL2\model\stage3_data\stage3_complex_mlp_dynamic_lqr_logs_rl_training_errors.csv,ok,,532,436,96,0,358,358
2026-03-03 13:01:12,stage3_complex_mlp_staged_static_lqr_logs,E:\Code\python\HRRL2\model\stage3_complex_mlp_staged_static_lqr_logs,E:\Code\python\HRRL2\model\stage3_complex_mlp_staged_static_lqr_logs\rl_training_errors.csv,E:\Code\python\HRRL2\model\stage3_complex_mlp_staged_static_lqr_logs\stage3_complex_mlp_staged_static_lqr_logs_rl_training_errors.csv,E:\Code\python\HRRL2\model\stage3_data\stage3_complex_mlp_staged_static_lqr_logs_rl_training_errors.csv,ok,,1089,717,372,0,0,0
