episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
41,477,0,0,tilt_error,2.48,0.375883,0.566777,2.375288,0.123974,0.198854,0.742808,0.037502,0.059970,0.373100,3.75,0.055529,6159.07
42,472,0,0,tilt_error,2.12,0.313179,0.496228,2.403795,0.107347,0.181432,0.636129,0.033295,0.059836,0.371076,3.75,0.057542,7147.72
43,469,0,0,tilt_error,2.16,0.325591,0.483365,2.363615,0.107190,0.170441,0.591948,0.034334,0.059342,0.373247,3.75,0.056382,6448.69
44,467,0,0,tilt_error,5.42,0.408892,0.539457,2.371186,0.109089,0.168893,0.573109,0.036739,0.057941,0.360173,3.75,0.060607,5228.80
45,554,0,0,tilt_error,20.41,0.440948,0.542029,2.349854,0.142447,0.182203,0.679661,0.041702,0.057042,0.351222,3.76,0.064272,5468.31
46,557,0,0,tilt_error,21.19,0.410951,0.468918,2.415650,0.169637,0.159850,0.543135,0.055331,0.056617,0.363479,3.74,0.073939,5305.20
47,564,0,0,tilt_error,22.22,0.329503,0.446456,2.446098,0.116720,0.181945,0.722733,0.035062,0.058708,0.368513,3.77,0.053698,7905.54
48,554,0,0,tilt_error,22.36,0.426175,0.614456,2.500033,0.120926,0.200322,1.570000,0.037894,0.064436,0.363811,3.76,0.047750,7395.83
49,1,0,0,heading_error,10.42,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.002980,0.000000,0.002980,0.08,0.000000,-575.17
50,1,0,0,heading_error,9.37,0.602088,0.000000,0.602088,0.001993,0.000000,0.001993,0.001919,0.000000,0.001919,0.07,0.000000,-592.49
51,572,0,0,tilt_error,24.95,0.314792,0.379606,2.444300,0.112100,0.141426,0.523079,0.035446,0.058616,0.370721,3.77,0.054896,7888.88
52,496,0,0,tilt_error,7.60,0.450723,0.612547,2.919852,0.136502,0.149375,0.523466,0.038564,0.055719,0.364664,3.75,0.066045,5553.18
53,569,0,0,tilt_error,23.41,0.576381,0.785837,2.995716,0.165831,0.159181,0.554979,0.044706,0.057614,0.359967,3.75,0.071709,4845.47
54,906,0,0,tilt_error,78.77,0.371655,0.397915,2.130947,0.152313,0.163825,0.531195,0.050849,0.057704,0.357279,3.77,0.060375,10190.74
55,1919,0,0,heading_error,82.89,0.331598,0.347036,4.496497,0.130645,0.129895,0.533538,0.045477,0.041988,0.151867,3.81,0.060081,23072.39
56,1634,0,0,tilt_error,82.99,0.652183,0.845003,4.521812,0.175900,0.140354,0.716912,0.053603,0.047070,0.363281,3.80,0.066128,7465.99
57,1916,0,0,heading_error,82.95,0.391387,0.482052,2.589940,0.139441,0.123510,0.537111,0.046086,0.041926,0.165289,3.82,0.065039,19751.33
58,1064,0,0,tilt_error,83.36,0.423274,0.610013,3.295120,0.170127,0.185063,0.921669,0.053979,0.059711,0.364884,3.77,0.068455,11046.37
59,858,0,0,tilt_error,71.27,0.612028,0.817156,3.294314,0.181258,0.163140,0.635714,0.048995,0.056076,0.370100,3.78,0.074634,5763.69
60,778,0,0,heading_error,57.15,0.578899,0.716271,2.508185,0.169359,0.179792,1.022864,0.041739,0.048177,0.174079,3.78,0.078990,5397.97
61,778,0,0,tilt_error,57.16,0.396894,0.577934,2.561015,0.145648,0.198629,1.570000,0.043114,0.060145,0.368870,3.77,0.074354,9113.97
62,1,0,0,heading_error,8.53,0.505578,0.000000,0.505578,0.001993,0.000000,0.001993,0.003300,0.000000,0.003300,0.09,0.000000,-573.70
63,872,0,0,tilt_error,73.50,0.466800,0.561838,2.397707,0.182799,0.206064,1.570000,0.050319,0.058255,0.368247,3.77,0.068385,7582.84
64,1,0,0,heading_error,13.08,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.003300,0.000000,0.003300,0.09,0.000000,-573.15
65,1,0,0,heading_error,12.65,4.496497,0.000000,4.496497,0.001993,0.000000,0.001993,0.001533,0.000000,0.001533,0.06,0.000000,-592.54
66,790,0,0,heading_error,58.08,0.802238,1.130208,4.532855,0.189066,0.190112,1.017454,0.045931,0.049914,0.173358,3.78,0.065673,4474.85
67,48,0,0,heading_error,-5.98,2.665930,0.772747,3.360582,0.311950,0.318888,1.041706,0.106624,0.057255,0.165709,2.44,0.078743,-934.53
