episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
41,472,0,0,tilt_error,2.63,0.302989,0.324184,2.040404,0.104377,0.150732,0.538387,0.028634,0.051943,0.373325,3.77,0.072779,6774.62
42,468,0,0,tilt_error,3.28,0.378425,0.340504,1.993561,0.095252,0.187383,0.684620,0.026723,0.054706,0.366861,3.76,0.072924,5689.13
43,473,0,0,tilt_error,3.01,0.321317,0.463414,2.291752,0.113792,0.185378,0.680084,0.028804,0.053551,0.357627,3.76,0.083668,5973.36
44,180,0,0,tilt_error,7.25,0.885006,0.576479,1.811155,0.239809,0.175825,0.619614,0.086985,0.069610,0.355038,3.51,0.065567,-1216.72
45,482,0,0,tilt_error,2.21,0.193576,0.394914,2.270892,0.085480,0.143040,0.517306,0.023388,0.049578,0.354926,3.78,0.074194,8093.79
46,476,0,0,tilt_error,2.20,0.328488,0.291176,2.004263,0.084180,0.162068,1.570000,0.022673,0.050954,0.365580,3.77,0.065969,6444.55
47,1,0,0,heading_error,8.65,0.065599,0.000000,0.065599,0.001993,0.000000,0.001993,0.002059,0.000000,0.002059,0.07,0.000000,-576.40
48,570,0,0,tilt_error,23.80,0.286155,0.343151,2.038464,0.116458,0.153271,0.616649,0.030684,0.051703,0.353151,3.78,0.062391,8149.03
49,563,0,0,heading_error,22.38,0.315491,0.433089,2.320237,0.116579,0.175145,1.035543,0.027951,0.043292,0.172675,3.78,0.055744,6794.62
50,571,0,0,tilt_error,23.96,0.330235,0.324665,2.015325,0.117964,0.170198,1.570000,0.030025,0.052785,0.360177,3.78,0.057729,7358.09
51,1,0,0,heading_error,9.64,2.056578,0.000000,2.056578,0.001993,0.000000,0.001993,0.002062,0.000000,0.002062,0.07,0.000000,-575.35
52,570,0,0,tilt_error,23.37,0.544471,0.554318,2.071717,0.140112,0.150697,0.594623,0.035996,0.051549,0.361825,3.78,0.051542,3947.42
53,577,0,0,tilt_error,24.93,0.555851,0.496509,2.001630,0.107726,0.129582,0.516652,0.033310,0.054219,0.360413,3.77,0.053243,3541.87
54,123,0,0,tilt_error,6.79,1.152584,0.499890,1.883722,0.281645,0.230886,0.683532,0.107912,0.081166,0.362639,3.30,0.069634,-1888.77
55,114,0,0,tilt_error,5.76,1.317200,0.559408,3.471904,0.260795,0.238535,0.636344,0.097295,0.082752,0.365131,3.31,0.087885,-1927.07
56,623,0,0,tilt_error,31.84,0.958307,1.129517,4.043911,0.190288,0.197262,0.935533,0.050919,0.057196,0.363693,3.76,0.052191,657.46
57,672,0,0,tilt_error,40.99,0.352741,0.277149,1.968076,0.102565,0.132356,0.554255,0.032880,0.051860,0.373254,3.79,0.044477,8187.63
58,669,0,0,tilt_error,40.65,0.372875,0.272943,1.946502,0.103524,0.147553,0.594393,0.031031,0.051417,0.352874,3.79,0.044181,7915.57
59,575,0,0,tilt_error,24.51,0.428884,0.256493,2.891206,0.117002,0.148325,0.544332,0.032311,0.052615,0.367104,3.78,0.053718,4359.23
60,125,0,0,tilt_error,8.56,1.985793,0.850840,2.941153,0.363450,0.294300,0.867892,0.092791,0.077699,0.361342,3.36,0.084655,-2315.63
61,63,0,0,tilt_error,6.78,1.382120,0.521039,1.910760,0.147760,0.194158,0.706191,0.113033,0.106842,0.367014,2.91,0.044323,-1216.17
62,107,0,0,tilt_error,7.58,1.489408,0.592022,2.128827,0.316446,0.286658,0.778300,0.100762,0.081123,0.356784,3.28,0.080495,-1958.82
63,712,0,0,tilt_error,47.25,0.480627,0.323959,1.752640,0.117214,0.131926,0.814549,0.034021,0.052853,0.359121,3.79,0.053054,4008.93
64,75,0,0,heading_error,5.31,1.078975,0.412194,1.765981,0.272650,0.350880,1.570000,0.073727,0.061826,0.161604,3.11,0.100790,-1353.96
65,1,0,0,heading_error,13.71,0.954948,0.000000,0.954948,0.001993,0.000000,0.001993,0.000582,0.000000,0.000582,0.06,0.000000,-586.70
66,106,0,0,tilt_error,3.99,0.759710,0.355978,1.981433,0.207066,0.177902,0.518160,0.099744,0.087331,0.370304,3.25,0.074658,-813.97
67,68,0,0,heading_error,2.94,1.394355,0.647489,1.982760,0.263882,0.320205,1.045115,0.087227,0.055189,0.159575,3.02,0.077894,-1240.51
68,743,0,0,tilt_error,53.14,0.414668,0.338392,2.084189,0.111844,0.138011,0.633346,0.032467,0.051265,0.359588,3.80,0.054860,6515.65
69,97,0,0,tilt_error,7.23,1.297489,0.532741,1.820059,0.263437,0.273645,0.762946,0.093786,0.086480,0.349953,3.24,0.111781,-1729.94
70,92,0,0,tilt_error,5.22,0.901360,0.415606,1.630730,0.190293,0.209072,0.588168,0.094195,0.092744,0.367163,3.21,0.103649,-1069.43
71,94,0,0,tilt_error,6.53,1.114514,0.509674,1.633308,0.222129,0.240474,0.672995,0.094692,0.091863,0.373971,3.23,0.091375,-1376.43
72,107,0,0,tilt_error,4.29,0.737137,0.345227,1.278248,0.232843,0.192913,0.650765,0.106837,0.083811,0.353427,3.22,0.062867,-840.17
73,104,0,0,tilt_error,4.83,0.834394,0.373062,1.416758,0.244654,0.240435,1.570000,0.106736,0.084089,0.353265,3.22,0.063842,-985.22
74,1,0,0,heading_error,10.29,0.597026,0.000000,0.597026,0.001993,0.000000,0.001993,0.001703,0.000000,0.001703,0.06,0.000000,-585.07
75,126,0,0,tilt_error,1.55,0.455907,0.217084,0.824412,0.176371,0.183720,1.570000,0.087681,0.081558,0.373767,3.37,0.087841,286.54
76,1,0,0,heading_error,11.12,4.496497,0.000000,4.496497,0.001993,0.000000,0.001993,0.002158,0.000000,0.002158,0.07,0.000000,-589.06
77,77,0,0,tilt_error,-4.40,3.435634,1.229211,4.522701,0.322959,0.337519,1.570000,0.114249,0.084076,0.350420,3.08,0.069310,-1697.53
78,1,0,0,heading_error,13.38,2.176657,0.000000,2.176657,0.001993,0.000000,0.001993,0.002159,0.000000,0.002159,0.07,0.000000,-590.97
79,56,0,0,tilt_error,-2.33,1.750614,0.608144,2.220748,0.164996,0.212142,0.721372,0.123355,0.099371,0.353724,2.80,0.075761,-1195.35
80,100,0,0,tilt_error,3.41,0.553392,0.284807,0.881216,0.152909,0.153519,0.519260,0.091169,0.090093,0.356849,3.23,0.096552,-220.11
81,758,0,0,tilt_error,54.81,0.390925,0.528229,2.242728,0.103528,0.151122,1.570000,0.036756,0.049463,0.365297,3.79,0.050052,9199.93
82,1,0,0,heading_error,13.12,4.496497,0.000000,4.496497,0.001993,0.000000,0.001993,0.002158,0.000000,0.002158,0.07,0.000000,-573.70
83,76,0,0,tilt_error,-4.88,3.472032,1.190961,4.523105,0.315347,0.331719,1.570000,0.115798,0.088524,0.370320,3.08,0.085776,-1707.91
84,1,0,0,heading_error,18.02,1.923420,0.000000,1.923420,0.001993,0.000000,0.001993,0.002157,0.000000,0.002157,0.07,0.000000,-590.96
85,110,0,0,tilt_error,7.74,1.362312,0.590965,2.109246,0.234207,0.240709,0.725197,0.081952,0.082405,0.355945,3.33,0.074916,-1864.21
86,64,0,0,tilt_error,0.55,1.614200,0.764384,3.849224,0.246004,0.290771,0.980787,0.128433,0.096699,0.354373,2.86,0.098661,-1183.53
87,76,0,0,tilt_error,-3.23,2.948841,1.098631,3.903429,0.297878,0.317811,1.570000,0.114055,0.087745,0.360314,3.07,0.100489,-1614.43
88,1,0,0,heading_error,17.88,0.778663,0.000000,0.778663,1.570000,0.000000,1.570000,0.002158,0.000000,0.002158,0.07,0.000000,-590.95
89,1,0,0,heading_error,9.29,1.752255,0.000000,1.752255,0.001993,0.000000,0.001993,0.000438,0.000000,0.000438,0.06,0.000000,-592.03
90,106,0,0,tilt_error,7.03,1.224815,0.540664,1.781433,0.222844,0.229938,0.657590,0.082435,0.082999,0.351632,3.31,0.067129,-1743.76
91,716,0,0,tilt_error,48.64,0.306354,0.422816,2.166341,0.109268,0.139791,1.570000,0.032063,0.050497,0.357240,3.79,0.047922,9876.25
