#{"t_start": 1772260924.8721814, "env_id": "None"}
r,l,t
-787.276826,30,624.778085
-591.978064,1,624.803982
9978.347682,744,632.387069
10020.132888,719,639.6851
7773.113498,740,647.151123
-1289.835069,134,648.52907
-778.245578,29,648.847355
9660.712395,721,656.257437
7962.953811,725,663.728519
9874.142241,720,671.15581
8978.864461,723,678.633414
8538.497041,745,686.271926
10982.552069,743,693.93671
10714.539363,735,701.50484
9661.898747,713,708.853723
7696.124896,745,716.571921
-778.340296,29,716.879265
11489.554824,721,724.466172
10493.456476,735,732.104286
9007.086771,738,739.483463
-573.801937,1,739.509618
8459.234841,710,746.637195
-574.357416,1,746.65672
8260.984569,706,753.705475
9360.956993,712,760.863616
7287.387204,750,768.385594
8451.431922,740,775.843202
-1685.573475,92,776.789212
-805.736368,32,777.132409
10263.313908,710,784.332068
-763.415876,28,784.627296
-811.315852,32,784.966453
14949.480461,1210,797.396559
7984.163143,721,804.707808
-574.086749,1,804.7303
-592.036329,1,804.754164
7993.128619,699,811.880781
15508.344243,1306,825.347318
-783.928268,30,825.668199
6464.775601,700,832.848076
-574.97619,1,832.875309
-592.454247,1,832.892334
-1382.238237,95,833.902172
5366.78135,701,841.185962
-575.123439,1,841.212909
6114.705869,698,848.394422
-817.86884,33,848.754642
-587.495036,1,848.780158
-808.29729,32,849.113917
7399.226881,695,856.434245
-763.404069,28,856.758069
6693.852454,1528,872.51592
15359.524768,1307,885.408136
14758.954266,1230,897.722649
9721.899017,1507,913.029481
7656.139651,1533,928.870773
6864.794672,750,936.596597
-778.340296,29,936.90541
13181.566829,1284,949.948365
11648.649051,1512,965.684266
12022.242614,1499,981.277682
12752.445577,1328,994.988387
-585.011907,1,995.009342
7753.398014,1501,1010.409103
13478.730724,1288,1023.280714
-1326.718098,90,1024.229929
15360.490428,1216,1036.520179
12484.284556,1206,1048.752118
15508.072282,1213,1061.206813
15382.78485,1221,1073.699489
14473.820829,1207,1086.019309
-581.284707,1,1086.047548
17054.816314,1207,1098.405306
13946.99153,1210,1110.893327
16452.464609,1212,1123.523932
14846.569792,1208,1135.970347
-773.463311,29,1136.286021
16309.091645,1209,1148.656629
-816.070953,33,1149.004788
16609.953534,1210,1161.262819
16259.395209,1211,1173.462507
-581.591703,1,1173.490611
-592.549773,1,1173.510136
-798.784759,31,1173.863205
-778.243587,29,1174.162173
17877.295936,1208,1186.457426
12565.915683,1246,1199.025963
-582.47452,1,1199.055455
-592.175914,1,1199.073561
11450.967213,1271,1211.845888
7755.613817,1325,1225.362092
-872.62242,39,1225.780842
7721.71748,1264,1238.867783
-582.504667,1,1238.888757
-592.351033,1,1238.913686
9609.188042,1336,1252.702325
-584.446985,1,1252.723953
-592.325695,1,1252.749786
11730.735667,1216,1265.381225
8590.620649,1226,1278.116105
-500.759943,6,1278.196726
-592.439703,1,1278.215985
7246.37278,1222,1290.437727
6188.307179,1227,1302.74362
8977.197941,1219,1314.971995
-829.728879,34,1315.331804
13388.645689,1212,1327.613444
17159.731659,1201,1339.797429
-916.652567,46,1340.274026
17737.376264,1200,1352.468174
14901.817597,1205,1364.781876
16857.872268,1201,1377.072888
18299.882565,1201,1389.545156
14759.745512,1204,1402.049599
-763.27877,28,1402.34803
-586.289756,1,1402.372161
12494.051594,1198,1414.805641
10908.974293,1209,1426.902469
-581.15861,1,1426.927261
-777.165376,29,1427.235961
14083.428441,1203,1439.288236
-581.080566,1,1439.310134
-592.122828,1,1439.335017
13363.202155,1201,1451.555476
13623.281945,1203,1463.796552
-787.231665,30,1464.118049
-586.072188,1,1464.136273
14326.259474,1202,1476.38919
-581.384055,1,1476.415335
14609.952478,1201,1488.720953
16972.233931,1198,1501.06581
-581.365609,1,1501.094074
-592.510199,1,1501.113013
17730.884566,1198,1513.460938
17489.48678,1200,1526.069123
16737.198398,1198,1538.584158
15373.635232,1201,1550.937222
15486.516695,1201,1562.889949
14041.089235,1208,1575.171102
13903.66759,1205,1587.516668
12971.264376,1204,1599.77704
14992.916368,1204,1612.021322
16641.019908,1204,1624.390793
16822.211337,1205,1636.748411
16625.205341,1202,1649.136482
-581.062009,1,1649.16843
15300.782527,1203,1661.598926
15748.994846,1205,1673.957973
16937.474921,1205,1686.292015
-763.237708,28,1686.5973
14574.682766,1246,1699.137642
-582.230332,1,1699.166971
18248.484304,1248,1711.693089
15651.376699,1259,1724.529912
15292.011983,1253,1737.202212
-582.705775,1,1737.226258
-764.671218,28,1737.526741
17393.993314,1209,1749.760097
17625.103168,1202,1761.992182
-763.416845,28,1762.290857
17568.986597,1210,1774.659844
-785.410534,30,1774.978688
17266.800918,1206,1787.426517
-581.512704,1,1787.450585
17482.293936,1207,1799.805744
17335.932169,1208,1812.325665
-581.672013,1,1812.347466
-592.161472,1,1812.377787
18144.700604,1206,1824.922527
-581.659117,1,1824.943703
-592.315832,1,1824.967864
-830.469007,34,1825.312314
16175.916255,1204,1837.442323
16369.925509,1202,1849.588399
-928.658811,47,1850.076102
16711.442167,1198,1862.265058
16085.34396,1200,1874.477112
15461.888916,1204,1886.678282
18485.038379,1200,1898.932248
-581.199389,1,1898.959314
-765.066667,28,1899.256365
-592.117042,1,1899.277008
-592.504525,1,1899.301729
15479.012368,1201,1911.532552
15187.63093,1204,1924.086184
15588.354761,1200,1936.504209
16205.482766,1197,1948.816735
17489.844752,1197,1961.11097
15123.432077,1200,1973.12473
-763.407612,28,1973.434301
-585.9652,1,1973.462611
-592.459883,1,1973.481369
-764.782431,28,1973.764125
18002.385538,1198,1985.946827
15542.311831,1201,1998.094895
16596.963153,1199,2010.253045
-763.141088,28,2010.555298
-586.040196,1,2010.583725
-764.697557,28,2010.875473
15676.642943,1205,2023.133431
16495.145965,1203,2035.474982
-581.516115,1,2035.498995
16542.991053,1200,2047.88969
16552.616778,1201,2060.352522
19161.270223,1197,2072.613085
-763.371701,28,2072.931802
15823.61142,1204,2085.30198
-581.220404,1,2085.332283
-592.315163,1,2085.350274
15916.093974,1205,2097.634301
17052.776766,1200,2109.535162
17726.279685,1201,2121.752544
16219.483871,1200,2133.996953
18392.79383,1197,2146.139471
15861.686184,1199,2158.332924
18679.810932,1196,2170.701539
-581.312256,1,2170.730043
18773.564914,1199,2183.157484
15866.934158,1203,2195.507375
16420.52555,1199,2207.740101
17085.055102,1199,2220.087429
17544.765562,1198,2232.383337
-796.260924,31,2232.700033
15769.743741,1201,2244.708797
-581.075213,1,2244.734203
15367.427817,1202,2256.903146
15280.139256,1201,2268.981431
18820.576041,1197,2281.092505
16038.82796,1200,2293.296349
16015.805859,1203,2305.642966
15778.78088,1200,2318.042198
-763.40441,28,2318.345347
-585.982991,1,2318.36616
16423.06227,1197,2330.98086
15946.429029,1200,2343.443514
-581.336965,1,2343.465055
16481.923216,1199,2355.880013
17625.372215,1198,2368.283044
18447.880525,1198,2380.343709
16456.637109,1199,2392.417429
17896.727082,1199,2404.546375
16478.077627,1204,2416.76766
17523.742746,1199,2429.063464
13759.82109,1206,2441.366434
13328.167943,1207,2453.844845
14931.260554,1203,2466.288202
15815.486655,1202,2478.73088
15345.226976,1203,2491.103968
13342.790159,1206,2503.552703
13073.583793,1204,2515.747494
13890.262082,1202,2527.770761
16598.982412,1202,2539.940799
-581.508486,1,2539.964894
14368.080626,1204,2552.113251
15392.591426,1200,2564.309678
15933.538843,1203,2576.668656
13386.91183,1204,2589.158137
14112.862836,1211,2601.6791
-581.455136,1,2601.708453
16261.349705,1205,2614.139452
14621.178637,1211,2626.571951
-581.563627,1,2626.595639
-765.191322,28,2626.894497
15314.800107,1210,2639.385169
15074.919226,1208,2651.560279
16464.752421,1210,2663.756348
17395.052558,1207,2675.847372
-581.324736,1,2675.87164
-592.324918,1,2675.894969
17117.43311,1207,2688.123873
16068.177146,1210,2700.447818
17923.060592,1204,2712.939922
17944.682275,1204,2725.4246
-581.254016,1,2725.454094
-592.032127,1,2725.473212
16258.681483,1204,2738.019825
18553.998602,1202,2750.389937
17576.396913,1200,2762.896835
-581.102987,1,2762.923611
-592.01368,1,2762.942003
-592.075384,1,2762.967165
15499.433131,1203,2775.615887
17469.230315,1198,2787.831472
-763.404127,28,2788.126525
18542.716951,1201,2800.263114
-581.204852,1,2800.284799
18854.378441,1200,2812.371197
17789.104772,1196,2824.45263
-581.179002,1,2824.479278
-592.386614,1,2824.501164
17527.765693,1198,2836.74634
17527.238219,1197,2849.132509
-556.56527,1,2849.157501
15950.820021,1202,2861.430514
15973.73177,1200,2873.809501
17986.557107,1197,2886.032686
-580.991261,1,2886.05494
-498.91128,10,2886.168411
-592.430163,1,2886.192377
18321.334181,1198,2898.513092
16087.515823,1201,2911.019106
16914.103772,1198,2923.113217
17118.740866,1198,2935.124775
15506.564897,1202,2947.24242
-581.106123,1,2947.272035
-592.549609,1,2947.290395
16394.724042,1200,2959.36989
18111.079077,1197,2971.452241
-581.299873,1,2971.473175
-775.872162,29,2971.778456
17385.49289,1203,2984.169853
-581.37342,1,2984.199986
16985.214137,1198,2996.460443
19119.586579,1200,3008.751838
19049.019162,1199,3021.110213
16588.048586,1200,3033.645447
17471.24074,1213,3046.360055
-581.878062,1,3046.386143
-820.009222,33,3046.745065
-789.047781,30,3047.075217
17260.013856,1209,3059.158649
15524.15131,1214,3071.321969
16113.433414,1204,3083.551488
14772.954135,1264,3096.367761
-582.877076,1,3096.397521
16279.772438,1234,3108.961635
15106.089879,1249,3121.734163
17344.907427,1243,3134.529518
-778.340297,29,3134.834145
16832.147813,1248,3147.732013
-800.461266,31,3148.074466
15779.316012,1286,3161.296229
16180.441434,1207,3173.727706
-581.397281,1,3173.757231
14095.281669,1202,3186.142954
13589.78432,1202,3198.113379
17297.292876,1199,3210.138645
-581.065713,1,3210.168342
18331.737605,1199,3222.295287
18219.601048,1207,3234.592503
-581.726572,1,3234.617041
15967.97901,1204,3247.030001
-581.644082,1,3247.05754
8210.835396,756,3254.860206
13964.767166,1246,3267.715767
-582.775094,1,3267.73952
12577.814902,1196,3280.122358
-763.503807,28,3280.415221
16695.518789,1195,3292.686742
-581.020812,1,3292.709311
15662.849885,1199,3305.196701
-580.930967,1,3305.220514
-592.374163,1,3305.247124
15582.673477,1205,3317.795659
18149.077496,1202,3330.385733
-581.342607,1,3330.415543
-788.111413,30,3330.771397
-778.340296,29,3331.091238
19198.054224,1198,3343.295639
-581.190515,1,3343.32539
19284.139485,1195,3355.435043
-581.324171,1,3355.463989
17453.910498,1202,3367.654038
-763.405355,28,3367.963107
19342.430074,1196,3380.681349
-763.40441,28,3380.978002
18994.19152,1198,3393.208584
18237.906173,1197,3405.426073
17774.304924,1197,3417.934806
-763.395972,28,3418.230242
-586.591725,1,3418.252434
17348.195583,1198,3430.517863
-581.322478,1,3430.544813
18149.090297,1197,3442.998925
17898.145887,1196,3455.479676
17875.628542,1201,3467.75373
17025.797241,1197,3479.828739
16065.747564,1198,3491.980093
17755.376463,1196,3504.241759
-763.500429,28,3504.559862
17859.850314,1196,3516.888166
17884.503248,1197,3529.317314
-773.821265,29,3529.625998
-777.519833,29,3529.948296
16784.348585,1202,3542.429838
16474.542017,1200,3554.853413
17415.945649,1198,3567.351898
-581.090353,1,3567.374187
