#{"t_start": 1772260924.8721814, "env_id": "None"}
r,l,t
16774.971766,1203,6667.379223
-581.107381,1,6667.400686
15011.232851,1230,6679.947213
17067.703539,1203,6692.434033
16963.916282,1205,6704.858301
-581.263169,1,6704.88686
18057.64987,1206,6717.340938
16958.039445,1201,6729.69157
16130.195259,1206,6742.289459
17207.258292,1207,6754.8999
-581.259996,1,6754.92275
17117.311608,1205,6767.424016
-581.253725,1,6767.449193
-765.060129,28,6767.765021
-591.99646,1,6767.791751
17762.287495,1206,6779.922164
17727.864548,1203,6792.108537
18459.327574,1207,6804.437304
18036.263847,1207,6816.807605
17148.897274,1205,6829.174562
19393.822185,1210,6841.670435
-581.456194,1,6841.695205
18390.973208,1207,6854.138236
16591.250203,1207,6866.676117
-581.141398,1,6866.704309
-592.283523,1,6866.723621
18181.316308,1209,6879.278782
17068.641451,1208,6891.946301
17523.494776,1208,6904.524085
17055.987071,1205,6916.717483
17480.654495,1208,6929.209337
17376.575593,1206,6941.521409
17438.778283,1206,6953.918437
-581.52444,1,6953.94847
17996.866085,1205,6966.338934
-581.31084,1,6966.369351
16451.136525,1208,6979.061094
-581.445222,1,6979.08658
18759.865212,1207,6991.769664
17051.622967,1210,7004.328606
-581.444479,1,7004.354334
17458.618096,1206,7016.869448
16811.401173,1208,7029.334368
-581.562969,1,7029.363225
-764.863379,28,7029.672754
17755.818566,1205,7042.238433
17934.514433,1205,7054.353541
17589.761874,1207,7066.464064
-763.390672,28,7066.761509
17886.922383,1206,7079.083091
16376.064656,1206,7091.426681
17371.974077,1203,7103.780387
17049.041716,1200,7116.082415
-763.390672,28,7116.376237
18201.955729,1199,7128.711581
16513.614579,1205,7141.100654
16687.246469,1204,7153.612028
20079.672252,1203,7166.052434
19505.261779,1204,7178.502487
17615.534446,1204,7190.663245
19834.096741,1203,7202.896496
-581.380125,1,7202.920516
17643.339179,1203,7215.379178
17719.748749,1199,7227.737257
19593.194521,1211,7240.189604
18268.728884,1201,7252.472147
18690.009778,1205,7264.977501
19480.864541,1206,7277.514278
18330.625922,1208,7290.05747
18153.326739,1214,7302.738127
-581.560026,1,7302.763016
-592.412755,1,7302.789901
18929.759469,1202,7315.343591
16895.23817,1199,7327.54581
19471.579561,1200,7339.690115
-581.414016,1,7339.717416
-592.158475,1,7339.738179
18582.703967,1202,7352.04542
17215.732365,1198,7364.186614
17467.577393,1201,7376.511564
-581.207072,1,7376.53441
19098.096055,1199,7388.857
16287.442202,1207,7401.346358
17732.781098,1251,7414.45099
17953.773984,1486,7429.911879
17779.170873,1199,7442.444836
18500.48178,1198,7454.874059
16789.652491,1201,7467.014813
17823.063988,1215,7479.308631
19334.46117,1196,7491.256384
17127.177395,1202,7503.419803
17480.134075,1201,7515.709346
-581.225519,1,7515.736354
14733.174119,1527,7531.617228
-582.227072,1,7531.643391
17421.954242,1201,7544.196718
-581.289333,1,7544.223134
-592.380505,1,7544.251633
-592.56106,1,7544.271333
18386.572209,1195,7556.64001
19414.885174,1198,7569.05712
17754.202899,1200,7581.537956
17520.746352,1200,7594.092643
17712.457275,1199,7606.175007
17544.881513,1201,7618.473415
18469.731399,1198,7630.663323
19584.154231,1197,7642.927959
16927.022491,1202,7655.202278
17701.868449,1201,7667.537018
16460.905775,1205,7680.080456
18334.000708,1200,7692.45894
17721.976308,1199,7704.947598
-581.141842,1,7704.972953
