episode,new_episode,steps,completed,completion_index,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
279,164,1306,0,0,0,tilt_error,82.68,0.343511,0.349134,3.120582,0.119139,0.120638,0.601101,0.042313,0.04419,0.368558,3.81,0.075852,15508.34
281,165,700,0,0,0,tilt_error,45.45,0.442821,0.463822,2.314329,0.125518,0.151236,1.57,0.038372,0.049493,0.362543,3.79,0.076074,6464.78
285,166,701,0,0,0,tilt_error,45.35,0.529203,0.600604,3.115006,0.129804,0.174797,1.57,0.037868,0.051925,0.363818,3.79,0.075833,5366.78
287,167,698,0,0,0,tilt_error,45.17,0.480105,0.550326,2.651432,0.122197,0.151038,0.770011,0.037368,0.050859,0.356835,3.79,0.080941,6114.71
291,168,695,0,0,0,tilt_error,44.77,0.446104,0.524846,4.496497,0.098937,0.157578,0.781195,0.032922,0.052122,0.357365,3.79,0.067666,7399.23
293,169,1528,0,0,0,tilt_error,83.15,0.631969,0.631553,2.510097,0.136725,0.130688,0.64492,0.043408,0.041544,0.362413,3.81,0.068031,6693.85
294,170,1307,0,0,0,tilt_error,82.81,0.32699,0.318864,2.08499,0.113204,0.111403,0.569173,0.040152,0.044008,0.351106,3.82,0.065157,15359.52
295,171,1230,0,0,0,tilt_error,82.75,0.33435,0.376137,2.083761,0.106101,0.104484,0.539129,0.037252,0.040472,0.360978,3.82,0.067903,14758.95
296,172,1507,0,0,0,heading_error,82.65,0.598424,0.667157,2.140332,0.113222,0.1202,1.022515,0.040514,0.033043,0.158711,3.82,0.059388,9721.9
297,173,1533,0,0,0,tilt_error,82.76,0.66922,0.722629,2.128672,0.126652,0.148789,0.998897,0.042812,0.037834,0.367884,3.82,0.058097,7656.14
298,174,750,0,0,0,tilt_error,52.38,0.476649,0.613907,4.496497,0.153455,0.1911,1.033789,0.041461,0.051866,0.35201,3.78,0.072854,6864.79
300,175,1284,0,0,0,tilt_error,82.98,0.425097,0.53698,3.10957,0.146495,0.175945,0.92815,0.047055,0.050932,0.361606,3.79,0.072856,13181.57
301,176,1512,0,0,0,tilt_error,82.81,0.45704,0.46962,2.331832,0.114297,0.118449,0.67941,0.04198,0.037588,0.36004,3.82,0.062704,11648.65
302,177,1499,0,0,0,heading_error,82.73,0.503272,0.57957,2.375904,0.101799,0.122506,1.046242,0.040493,0.031538,0.164759,3.83,0.057624,12022.24
303,178,1328,0,0,0,tilt_error,82.71,0.419111,0.391294,1.896334,0.11743,0.124473,1.57,0.043463,0.041912,0.364824,3.82,0.062878,12752.45
305,179,1501,0,0,0,heading_error,82.9,0.598244,0.53074,1.952139,0.114576,0.121986,1.04555,0.043763,0.033611,0.236296,3.83,0.056774,7753.4
306,180,1288,0,0,0,heading_error,82.99,0.392419,0.437409,2.461184,0.122488,0.140714,1.023867,0.044139,0.038031,0.17728,3.82,0.061394,13478.73
308,181,1216,0,0,0,tilt_error,82.94,0.344149,0.40048,2.313602,0.098055,0.110765,0.531743,0.039396,0.039192,0.370266,3.82,0.059033,15360.49
309,182,1206,0,0,0,tilt_error,82.94,0.410347,0.371795,1.934262,0.10192,0.104497,0.517303,0.040184,0.035923,0.353994,3.83,0.064906,12484.28
310,183,1213,0,0,0,tilt_error,82.9,0.348594,0.392826,2.566715,0.095245,0.105667,0.533675,0.039306,0.036988,0.372902,3.83,0.056251,15508.07
311,184,1221,0,0,0,tilt_error,82.61,0.387803,0.534762,2.597748,0.105057,0.118573,0.551704,0.043629,0.037595,0.362998,3.82,0.066821,15382.78
312,185,1207,0,0,0,tilt_error,82.58,0.383372,0.41028,1.891736,0.102693,0.109634,1.57,0.041093,0.036451,0.371914,3.82,0.06345,14473.82
314,186,1207,0,0,0,tilt_error,82.65,0.311809,0.390284,2.340986,0.094462,0.10139,0.519654,0.03891,0.036613,0.365222,3.83,0.061151,17054.82
315,187,1210,0,0,0,tilt_error,82.67,0.367,0.330124,1.87776,0.096502,0.098496,0.522824,0.039913,0.037158,0.362623,3.82,0.066771,13946.99
316,188,1212,0,0,0,tilt_error,82.74,0.305921,0.345764,2.38301,0.091247,0.102622,0.524455,0.037773,0.039113,0.365382,3.82,0.056502,16452.46
317,189,1208,0,0,0,tilt_error,82.64,0.37792,0.418358,4.496497,0.100292,0.10219,0.511659,0.042153,0.035321,0.353242,3.82,0.061183,14846.57
319,190,1209,0,0,0,tilt_error,82.68,0.354976,0.487427,3.756841,0.102159,0.107328,0.529173,0.041754,0.036984,0.364472,3.82,0.066733,16309.09
321,191,1210,0,0,0,tilt_error,82.69,0.334356,0.363424,2.08319,0.096948,0.09901,0.529326,0.041603,0.037112,0.372484,3.82,0.085069,16609.95
322,192,1211,0,0,0,tilt_error,82.66,0.352637,0.446848,2.324895,0.096763,0.105801,1.57,0.04126,0.036256,0.354065,3.83,0.064516,16259.4
327,193,1208,0,0,0,tilt_error,82.74,0.328244,0.359642,2.057335,0.083671,0.097094,0.525346,0.039596,0.037131,0.365538,3.83,0.076495,17877.3
328,194,1246,0,0,0,tilt_error,82.86,0.421196,0.468993,2.351735,0.104316,0.120237,1.57,0.043439,0.042828,0.364044,3.81,0.064523,12565.92
331,195,1271,0,0,0,tilt_error,83.24,0.475891,0.515336,2.69308,0.120488,0.125068,0.584033,0.045629,0.041225,0.350609,3.81,0.080808,11450.97
332,196,1325,0,0,0,tilt_error,82.98,0.475929,0.44009,3.551944,0.141338,0.123055,0.553657,0.048487,0.043602,0.363468,3.8,0.078187,7755.61
334,197,1264,0,0,0,tilt_error,82.98,0.463626,0.398417,2.375828,0.148072,0.141221,1.57,0.051114,0.046939,0.369371,3.79,0.079838,7721.72
337,198,1336,0,0,0,tilt_error,82.93,0.462411,0.425041,2.158777,0.14742,0.13,1.57,0.050395,0.046323,0.351037,3.79,0.08663,9609.19
340,199,1216,0,0,0,tilt_error,83.65,0.428682,0.453935,2.464225,0.133728,0.154604,0.789931,0.045336,0.04526,0.357159,3.8,0.076723,11730.74
341,200,1226,0,0,0,tilt_error,82.83,0.434027,0.377976,2.082964,0.158877,0.132128,0.526707,0.050392,0.046833,0.362462,3.79,0.087791,8590.62
344,201,1222,0,0,0,tilt_error,83.44,0.490098,0.448207,2.465466,0.159699,0.142489,0.767822,0.048946,0.045475,0.361726,3.79,0.07947,7246.37
345,202,1227,0,0,0,tilt_error,82.89,0.528583,0.514104,2.499015,0.182696,0.132561,0.611533,0.055851,0.043433,0.364392,3.78,0.090665,6188.31
346,203,1219,0,0,0,tilt_error,83.27,0.432418,0.414165,3.919674,0.160576,0.128949,0.718685,0.049848,0.042356,0.358265,3.79,0.085903,8977.2
348,204,1212,0,0,0,tilt_error,82.65,0.396261,0.460807,2.362784,0.113369,0.10534,0.524417,0.044655,0.038779,0.366777,3.81,0.06218,13388.65
349,205,1201,0,0,0,tilt_error,82.73,0.311692,0.342864,3.912873,0.09935,0.09726,0.523678,0.041545,0.036067,0.355622,3.82,0.053791,17159.73
351,206,1200,0,0,0,tilt_error,82.74,0.298803,0.333454,2.503757,0.091954,0.094135,0.509803,0.038888,0.037763,0.363588,3.83,0.052632,17737.38
352,207,1205,0,0,0,tilt_error,82.74,0.402342,0.499865,2.520502,0.104664,0.103591,0.516737,0.041082,0.037069,0.358742,3.82,0.055077,14901.82
353,208,1201,0,0,0,tilt_error,82.65,0.31241,0.321692,2.098466,0.094723,0.093766,0.521386,0.039969,0.036434,0.362903,3.83,0.057017,16857.87
354,209,1201,0,0,0,tilt_error,82.82,0.280742,0.348558,2.267885,0.093569,0.100683,0.560507,0.039621,0.038031,0.368663,3.82,0.062214,18299.88
355,210,1204,0,0,0,tilt_error,82.83,0.391027,0.461128,4.158283,0.107527,0.107573,0.52598,0.041219,0.038461,0.359174,3.82,0.076025,14759.75
358,211,1198,0,0,0,tilt_error,82.87,0.386377,0.303008,3.401833,0.093017,0.107731,0.518426,0.038346,0.038406,0.350285,3.82,0.066298,12494.05
359,212,1209,0,0,0,tilt_error,82.83,0.482136,0.605903,3.468378,0.130102,0.132046,1.57,0.046569,0.038728,0.351341,3.81,0.070743,10908.97
362,213,1203,0,0,0,tilt_error,82.85,0.357001,0.328248,1.981762,0.106378,0.117436,1.57,0.040752,0.040042,0.366738,3.82,0.074143,14083.43
365,214,1201,0,0,0,tilt_error,82.91,0.365578,0.337569,2.083037,0.100185,0.103765,0.526667,0.040672,0.039172,0.372574,3.82,0.066526,13363.2
366,215,1203,0,0,0,tilt_error,82.88,0.381714,0.482411,3.947453,0.112644,0.111869,0.556298,0.042851,0.03911,0.372695,3.82,0.065909,13623.28
369,216,1202,0,0,0,tilt_error,82.86,0.367675,0.405916,1.993484,0.108144,0.116434,1.57,0.042068,0.038545,0.365584,3.82,0.073335,14326.26
371,217,1201,0,0,0,tilt_error,82.89,0.364602,0.386203,1.991317,0.103047,0.107995,0.532058,0.041718,0.038559,0.360026,3.82,0.08423,14609.95
372,218,1198,0,0,0,tilt_error,82.86,0.316265,0.315311,2.089664,0.094193,0.107131,1.57,0.039215,0.037031,0.354881,3.83,0.088056,16972.23
375,219,1198,0,0,0,tilt_error,82.85,0.297336,0.297444,2.106386,0.093825,0.100858,0.516331,0.038355,0.038235,0.364482,3.83,0.089386,17730.88
376,220,1200,0,0,0,tilt_error,82.88,0.297884,0.306106,2.069764,0.09422,0.099863,0.506001,0.038438,0.038154,0.353409,3.82,0.092477,17489.49
377,221,1198,0,0,0,tilt_error,82.6,0.296971,0.374154,2.364504,0.109453,0.119133,0.570987,0.039875,0.042098,0.351807,3.81,0.109971,16737.2
378,222,1201,0,0,0,tilt_error,82.52,0.344406,0.494241,2.403293,0.12304,0.122876,0.561425,0.040787,0.044327,0.361956,3.81,0.104787,15373.64
379,223,1201,0,0,0,tilt_error,82.65,0.310453,0.336551,1.990362,0.10842,0.106225,0.52634,0.04211,0.038088,0.360237,3.82,0.119129,15486.52
380,224,1208,0,0,0,tilt_error,82.76,0.357519,0.364982,2.035467,0.108954,0.109149,0.530753,0.042899,0.038309,0.369796,3.82,0.098464,14041.09
381,225,1205,0,0,0,tilt_error,82.79,0.388833,0.425406,2.061075,0.112537,0.114721,0.518212,0.042089,0.038449,0.370291,3.82,0.092461,13903.67
382,226,1204,0,0,0,tilt_error,82.71,0.403915,0.414546,2.098478,0.108831,0.113683,0.522934,0.042128,0.037372,0.355862,3.82,0.122655,12971.26
383,227,1204,0,0,0,tilt_error,82.79,0.3641,0.438416,2.122931,0.115409,0.115799,0.520867,0.042016,0.039342,0.367546,3.82,0.119384,14992.92
384,228,1204,0,0,0,tilt_error,82.77,0.307889,0.325227,2.064698,0.102953,0.110659,0.519892,0.041159,0.038548,0.353279,3.82,0.121633,16641.02
385,229,1205,0,0,0,tilt_error,82.77,0.292468,0.317357,2.027258,0.102525,0.114595,0.515284,0.040293,0.039843,0.354337,3.82,0.10397,16822.21
386,230,1202,0,0,0,tilt_error,82.79,0.300728,0.357553,2.261917,0.109618,0.126974,1.57,0.040791,0.040419,0.363662,3.82,0.108869,16625.21
388,231,1203,0,0,0,tilt_error,82.71,0.320605,0.365033,2.031036,0.10734,0.112639,0.534125,0.041552,0.040289,0.354234,3.81,0.125295,15300.78
389,232,1205,0,0,0,tilt_error,82.65,0.326233,0.414999,2.038099,0.11266,0.11782,0.52736,0.042679,0.041994,0.365004,3.81,0.119158,15748.99
390,233,1205,0,0,0,tilt_error,82.6,0.286604,0.388718,3.946062,0.108854,0.114841,0.517818,0.041903,0.041938,0.358715,3.81,0.100543,16937.47
392,234,1246,0,0,0,heading_error,82.74,0.385913,0.555672,2.810797,0.135938,0.153247,1.57,0.045236,0.041637,0.19376,3.8,0.113981,14574.68
394,235,1248,0,0,0,tilt_error,82.81,0.256108,0.319277,2.035504,0.112155,0.118396,0.529512,0.042813,0.04433,0.356345,3.81,0.115811,18248.48
395,236,1259,0,0,0,tilt_error,82.64,0.356239,0.495899,2.806929,0.120378,0.14125,0.842438,0.044888,0.045306,0.368251,3.81,0.12491,15651.38
396,237,1253,0,0,0,tilt_error,82.75,0.368156,0.516027,2.620107,0.124688,0.127765,1.57,0.044868,0.042772,0.366073,3.81,0.115694,15292.01
399,238,1209,0,0,0,tilt_error,82.69,0.291692,0.337873,2.093955,0.101688,0.111003,0.521598,0.040993,0.042221,0.359007,3.81,0.128671,17393.99
400,239,1202,0,0,0,tilt_error,82.82,0.269314,0.333137,4.181318,0.09826,0.105311,0.494646,0.038587,0.040649,0.358082,3.82,0.112189,17625.1
402,240,1210,0,0,0,tilt_error,82.83,0.271403,0.314405,3.558435,0.100334,0.105816,0.51849,0.039914,0.042071,0.366198,3.81,0.137116,17568.99
404,241,1206,0,0,0,tilt_error,82.91,0.27752,0.334327,2.346664,0.102955,0.108107,1.57,0.039827,0.040855,0.369753,3.82,0.112535,17266.8
406,242,1207,0,0,0,tilt_error,82.88,0.270258,0.308625,2.083758,0.103664,0.106384,0.524532,0.040731,0.04034,0.350966,3.81,0.110737,17482.29
407,243,1208,0,0,0,tilt_error,82.84,0.265054,0.317192,2.097442,0.104208,0.110498,1.57,0.040113,0.040686,0.364869,3.81,0.121195,17335.93
410,244,1206,0,0,0,tilt_error,82.86,0.255665,0.296271,2.08981,0.10492,0.115255,1.57,0.04034,0.040582,0.371308,3.82,0.13171,18144.7
414,245,1204,0,0,0,tilt_error,82.75,0.358328,0.551825,3.002156,0.118435,0.12483,0.53132,0.041942,0.03983,0.35859,3.81,0.116343,16175.92
415,246,1202,0,0,0,tilt_error,82.73,0.31929,0.447326,3.533955,0.114299,0.11449,0.517767,0.041899,0.039531,0.365995,3.81,0.108129,16369.93
417,247,1198,0,0,0,tilt_error,82.68,0.286902,0.364657,2.13222,0.107329,0.112888,0.527645,0.0414,0.039673,0.372388,3.82,0.114023,16711.44
418,248,1200,0,0,0,tilt_error,82.68,0.320219,0.443838,2.913145,0.116797,0.118021,0.529892,0.041749,0.040129,0.368572,3.81,0.091915,16085.34
419,249,1204,0,0,0,tilt_error,82.73,0.361832,0.551795,2.964098,0.127823,0.125345,0.523623,0.043495,0.040904,0.364651,3.81,0.095298,15461.89
420,250,1200,0,0,0,tilt_error,82.75,0.260611,0.3318,2.143243,0.107116,0.124626,1.57,0.039322,0.042003,0.359111,3.81,0.091697,18485.04
425,251,1201,0,0,0,tilt_error,82.66,0.321777,0.403117,2.120738,0.116851,0.119352,0.54712,0.042016,0.04254,0.363717,3.81,0.118743,15479.01
426,252,1204,0,0,0,tilt_error,82.52,0.355386,0.479021,2.105354,0.123473,0.127703,0.577665,0.043302,0.043928,0.372311,3.8,0.11341,15187.63
427,253,1200,0,0,0,tilt_error,82.67,0.33106,0.445707,2.112949,0.12374,0.121256,0.558471,0.04095,0.044234,0.373138,3.81,0.092148,15588.35
428,254,1197,0,0,0,tilt_error,82.59,0.294261,0.372382,2.089432,0.114787,0.113682,0.550992,0.039935,0.04287,0.350363,3.81,0.112005,16205.48
429,255,1197,0,0,0,tilt_error,82.69,0.27207,0.343795,2.095426,0.110909,0.117338,0.526881,0.038785,0.044551,0.368557,3.81,0.094701,17489.84
430,256,1200,0,0,0,tilt_error,82.64,0.331039,0.425348,4.496497,0.117307,0.120121,0.561431,0.042228,0.042511,0.357285,3.81,0.103166,15123.43
435,257,1198,0,0,0,tilt_error,82.71,0.271143,0.349929,2.063284,0.107271,0.120361,0.531637,0.038938,0.043449,0.349657,3.81,0.094952,18002.39
436,258,1201,0,0,0,tilt_error,82.72,0.318364,0.417125,2.371055,0.116581,0.118169,0.524237,0.042594,0.041717,0.361227,3.81,0.097306,15542.31
437,259,1199,0,0,0,tilt_error,82.75,0.337009,0.481832,3.8174,0.116785,0.110611,0.524663,0.041699,0.037047,0.350088,3.82,0.102991,16596.96
441,260,1205,0,0,0,tilt_error,82.76,0.378308,0.606072,3.320828,0.126843,0.12436,0.56381,0.044103,0.038009,0.357705,3.81,0.115049,15676.64
442,261,1203,0,0,0,tilt_error,82.74,0.326945,0.419446,2.160082,0.115056,0.11222,1.57,0.043382,0.037515,0.36791,3.82,0.128026,16495.15
444,262,1200,0,0,0,tilt_error,82.74,0.332439,0.441158,2.197925,0.109997,0.09776,0.507806,0.040512,0.036871,0.358546,3.82,0.093109,16542.99
445,263,1201,0,0,0,tilt_error,82.74,0.318177,0.394382,2.105206,0.114212,0.102688,0.525953,0.043181,0.03651,0.352792,3.82,0.115054,16552.62
446,264,1197,0,0,0,tilt_error,82.75,0.255398,0.347441,4.342542,0.097124,0.093212,0.487215,0.038126,0.038101,0.363417,3.83,0.123763,19161.27
448,265,1204,0,0,0,tilt_error,82.76,0.382559,0.590084,3.02711,0.121079,0.121056,1.57,0.042498,0.037333,0.369949,3.82,0.087883,15823.61
451,266,1205,0,0,0,tilt_error,82.73,0.412313,0.698669,3.734316,0.124992,0.12726,0.630784,0.043386,0.037348,0.35838,3.82,0.114818,15916.09
452,267,1200,0,0,0,tilt_error,82.74,0.298341,0.379895,2.228138,0.110509,0.101605,0.549717,0.0424,0.036472,0.357534,3.82,0.112082,17052.78
453,268,1201,0,0,0,tilt_error,82.75,0.283855,0.326079,2.111034,0.104911,0.097497,0.533304,0.040164,0.038205,0.368766,3.82,0.119886,17726.28
454,269,1200,0,0,0,tilt_error,82.76,0.32596,0.395398,2.105914,0.109529,0.10065,0.527135,0.040617,0.037903,0.370319,3.82,0.095762,16219.48
455,270,1197,0,0,0,tilt_error,82.75,0.273894,0.319403,2.081087,0.100823,0.103023,0.522711,0.039063,0.03827,0.35303,3.82,0.1252,18392.79
456,271,1199,0,0,0,tilt_error,82.7,0.344288,0.440529,2.122475,0.113535,0.104919,0.528506,0.041478,0.037352,0.371583,3.82,0.084655,15861.69
457,272,1196,0,0,0,tilt_error,82.7,0.285338,0.336733,2.135779,0.099843,0.117969,1.57,0.039008,0.038591,0.361976,3.82,0.119757,18679.81
459,273,1199,0,0,0,tilt_error,82.69,0.28031,0.34764,3.109131,0.099622,0.1095,0.519681,0.039281,0.038012,0.349771,3.82,0.115469,18773.56
460,274,1203,0,0,0,tilt_error,82.61,0.409468,0.639566,3.109574,0.121353,0.117391,0.520667,0.043367,0.036233,0.352909,3.82,0.079789,15866.93
461,275,1199,0,0,0,tilt_error,82.62,0.344174,0.462765,2.155391,0.109545,0.106517,0.520079,0.041005,0.036711,0.357528,3.82,0.088275,16420.53
462,276,1199,0,0,0,tilt_error,82.59,0.310145,0.374089,2.132207,0.1049,0.103168,0.520645,0.040435,0.037804,0.371838,3.82,0.099809,17085.06
463,277,1198,0,0,0,tilt_error,82.61,0.303402,0.332505,3.962627,0.100143,0.100467,0.515932,0.039409,0.037232,0.362757,3.83,0.112029,17544.77
465,278,1201,0,0,0,tilt_error,82.83,0.380677,0.514243,2.615559,0.113926,0.120048,1.57,0.041793,0.036107,0.352169,3.82,0.089823,15769.74
467,279,1202,0,0,0,tilt_error,82.6,0.390606,0.560033,2.834559,0.117418,0.109829,0.496937,0.042197,0.036052,0.357193,3.82,0.083115,15367.43
468,280,1201,0,0,0,tilt_error,82.68,0.358439,0.452015,2.18229,0.117988,0.103134,0.511937,0.044377,0.036211,0.372619,3.82,0.097809,15280.14
469,281,1197,0,0,0,tilt_error,82.61,0.266187,0.326907,2.212573,0.097094,0.096228,0.501901,0.038418,0.037154,0.360764,3.83,0.078049,18820.58
470,282,1200,0,0,0,tilt_error,82.72,0.334439,0.406416,3.558471,0.107402,0.107398,0.513368,0.040897,0.036832,0.361918,3.82,0.077566,16038.83
471,283,1203,0,0,0,tilt_error,82.7,0.40165,0.660821,3.62394,0.118929,0.122336,0.545851,0.042169,0.036455,0.357501,3.82,0.077828,16015.81
472,284,1200,0,0,0,tilt_error,82.74,0.326655,0.388691,4.496497,0.115557,0.103272,0.574396,0.044916,0.034012,0.353213,3.82,0.079617,15778.78
475,285,1197,0,0,0,tilt_error,82.69,0.330222,0.415696,2.124323,0.107349,0.102678,0.549802,0.041338,0.035509,0.362506,3.83,0.073476,16423.06
476,286,1200,0,0,0,tilt_error,82.68,0.344621,0.416603,2.213442,0.122126,0.113309,1.57,0.045723,0.033831,0.355065,3.82,0.083744,15946.43
478,287,1199,0,0,0,tilt_error,82.67,0.328162,0.395577,2.194492,0.106696,0.101028,0.513404,0.041255,0.0355,0.363107,3.83,0.072476,16481.92
479,288,1198,0,0,0,tilt_error,82.69,0.292714,0.33608,2.284423,0.103785,0.096161,0.495424,0.040015,0.03658,0.363138,3.83,0.077059,17625.37
480,289,1198,0,0,0,tilt_error,82.7,0.27982,0.333684,2.178755,0.106595,0.103925,0.56293,0.041876,0.035082,0.351499,3.82,0.082713,18447.88
481,290,1199,0,0,0,tilt_error,82.71,0.340519,0.424464,2.261306,0.109095,0.105648,0.504813,0.041135,0.036496,0.359209,3.82,0.071091,16456.64
482,291,1199,0,0,0,tilt_error,82.68,0.294633,0.353649,3.520897,0.107721,0.100909,0.515929,0.043043,0.035025,0.360527,3.82,0.074402,17896.73
483,292,1204,0,0,0,tilt_error,82.67,0.397801,0.648063,3.594132,0.127807,0.129457,0.550705,0.044145,0.036359,0.353649,3.82,0.071141,16478.08
484,293,1199,0,0,0,tilt_error,82.68,0.298249,0.363367,2.89506,0.112232,0.111029,0.504576,0.041718,0.037171,0.3565,3.82,0.07747,17523.74
485,294,1206,0,0,0,tilt_error,82.93,0.413082,0.54564,2.948224,0.125944,0.120451,0.522877,0.042641,0.035767,0.351346,3.82,0.080387,13759.82
486,295,1207,0,0,0,tilt_error,82.97,0.404711,0.470984,2.582766,0.119919,0.110916,0.537287,0.042078,0.036764,0.362981,3.82,0.065955,13328.17
487,296,1203,0,0,0,tilt_error,82.91,0.331573,0.289038,2.095938,0.103475,0.10172,0.525167,0.040159,0.036818,0.367553,3.83,0.070679,14931.26
488,297,1202,0,0,0,tilt_error,82.82,0.318104,0.304677,2.127951,0.107199,0.1047,0.510968,0.04088,0.037197,0.370026,3.82,0.076849,15815.49
489,298,1203,0,0,0,tilt_error,82.88,0.334604,0.311484,2.275234,0.104208,0.10183,0.524024,0.041466,0.035949,0.363337,3.82,0.075308,15345.23
490,299,1206,0,0,0,tilt_error,82.9,0.401582,0.44815,2.308231,0.117525,0.109416,0.528493,0.041769,0.036342,0.357782,3.82,0.079826,13342.79
491,300,1204,0,0,0,tilt_error,82.88,0.389696,0.375052,2.153714,0.10956,0.10227,0.527022,0.040442,0.035172,0.350266,3.83,0.065368,13073.58
492,301,1202,0,0,0,tilt_error,82.9,0.352691,0.30425,2.130407,0.103225,0.098678,0.525426,0.039789,0.035858,0.366757,3.83,0.06622,13890.26
493,302,1202,0,0,0,tilt_error,82.89,0.287638,0.308091,2.124602,0.097109,0.108693,1.57,0.037877,0.03762,0.359243,3.83,0.068981,16598.98
495,303,1204,0,0,0,tilt_error,82.86,0.362767,0.32745,2.121619,0.107267,0.100873,0.522244,0.041995,0.035432,0.353072,3.82,0.074623,14368.08
496,304,1200,0,0,0,tilt_error,82.74,0.338001,0.298006,2.132649,0.101091,0.097676,0.522802,0.040267,0.035214,0.35389,3.83,0.072694,15392.59
497,305,1203,0,0,0,tilt_error,82.87,0.329675,0.288861,2.532225,0.097893,0.098314,0.52357,0.040765,0.036648,0.364793,3.83,0.064091,15933.54
498,306,1204,0,0,0,tilt_error,82.88,0.419935,0.474723,2.81861,0.112116,0.106652,0.520027,0.042025,0.03587,0.365662,3.83,0.06135,13386.91
499,307,1211,0,0,0,tilt_error,82.87,0.408359,0.518004,2.864265,0.111528,0.11702,1.57,0.041736,0.038349,0.366702,3.82,0.081093,14112.86
501,308,1205,0,0,0,tilt_error,82.87,0.306542,0.314658,2.681854,0.099478,0.106648,0.521763,0.041227,0.03874,0.363219,3.82,0.078831,16261.35
502,309,1211,0,0,0,tilt_error,82.86,0.387015,0.509188,2.729636,0.114276,0.122965,1.57,0.042932,0.039224,0.364869,3.82,0.086517,14621.18
505,310,1210,0,0,0,tilt_error,82.81,0.350244,0.443976,2.641163,0.110934,0.112784,0.511962,0.042971,0.040027,0.359971,3.81,0.084029,15314.8
506,311,1208,0,0,0,tilt_error,82.82,0.37402,0.50178,2.686358,0.111222,0.117055,0.520765,0.042468,0.040143,0.371973,3.82,0.086005,15074.92
507,312,1210,0,0,0,tilt_error,82.89,0.309227,0.350322,2.155854,0.100122,0.109008,0.532628,0.041261,0.040614,0.35704,3.82,0.075883,16464.75
508,313,1207,0,0,0,tilt_error,82.85,0.282018,0.305791,2.151412,0.098653,0.112977,1.57,0.041591,0.039061,0.356918,3.82,0.078177,17395.05
511,314,1207,0,0,0,tilt_error,82.85,0.291245,0.340101,2.104912,0.100253,0.109869,0.519644,0.041411,0.040096,0.356514,3.81,0.07895,17117.43
512,315,1210,0,0,0,tilt_error,82.9,0.317664,0.393062,2.114213,0.110058,0.10716,0.516405,0.044089,0.039912,0.362576,3.81,0.079098,16068.18
513,316,1204,0,0,0,tilt_error,82.92,0.277319,0.331199,2.158222,0.097914,0.10988,0.521844,0.040364,0.041117,0.369553,3.82,0.07106,17923.06
514,317,1204,0,0,0,tilt_error,82.92,0.276071,0.322784,2.099689,0.101184,0.116358,1.57,0.041132,0.041177,0.371369,3.81,0.081943,17944.68
517,318,1204,0,0,0,tilt_error,82.93,0.299904,0.35659,2.162692,0.107841,0.10656,0.511651,0.043267,0.040129,0.361017,3.81,0.079687,16258.68
518,319,1202,0,0,0,tilt_error,82.92,0.261264,0.306081,2.15302,0.095133,0.10746,0.518399,0.040238,0.040724,0.363954,3.82,0.071678,18554.0
519,320,1200,0,0,0,tilt_error,82.95,0.251072,0.327962,2.220387,0.10409,0.119518,1.57,0.040861,0.040063,0.35707,3.81,0.078411,17576.4
523,321,1203,0,0,0,tilt_error,82.94,0.37287,0.585059,3.162479,0.120485,0.124331,0.51843,0.043181,0.039088,0.355117,3.81,0.083002,15499.43
524,322,1198,0,0,0,tilt_error,82.93,0.286706,0.324764,4.496497,0.098189,0.107771,0.518625,0.040245,0.039716,0.370099,3.82,0.099354,17469.23
526,323,1201,0,0,0,tilt_error,82.84,0.252884,0.312623,2.087601,0.103383,0.112477,1.57,0.041685,0.039501,0.370218,3.82,0.077637,18542.72
528,324,1200,0,0,0,tilt_error,82.73,0.255235,0.317715,2.043333,0.104236,0.107136,0.517852,0.041817,0.038094,0.349512,3.82,0.085282,18854.38
529,325,1196,0,0,0,tilt_error,82.64,0.275869,0.340537,2.059199,0.105315,0.116478,1.57,0.040736,0.038299,0.35843,3.82,0.085657,17789.1
532,326,1198,0,0,0,tilt_error,82.56,0.281799,0.352907,2.051053,0.111809,0.108026,0.537478,0.044088,0.037456,0.357598,3.82,0.092623,17527.77
533,327,1197,0,0,0,tilt_error,82.58,0.299815,0.359959,2.057442,0.104044,0.117916,0.521585,0.040873,0.040242,0.363483,3.82,0.092358,17527.24
535,328,1202,0,0,0,tilt_error,82.62,0.354548,0.497652,2.327912,0.122154,0.123459,0.539823,0.044689,0.039419,0.374209,3.81,0.092608,15950.82
536,329,1200,0,0,0,tilt_error,82.52,0.340896,0.45378,2.044925,0.11144,0.115809,0.539025,0.042397,0.039621,0.358035,3.81,0.078571,15973.73
537,330,1197,0,0,0,tilt_error,82.54,0.274253,0.339981,2.028068,0.100837,0.12799,1.57,0.039153,0.042121,0.358566,3.82,0.070002,17986.56
541,331,1198,0,0,0,tilt_error,82.49,0.276657,0.33867,2.03095,0.098217,0.114688,0.539892,0.039565,0.04223,0.373168,3.82,0.067164,18321.33
542,332,1201,0,0,0,tilt_error,82.48,0.328755,0.44432,2.034181,0.11765,0.124133,0.545833,0.042748,0.040879,0.355595,3.81,0.084402,16087.52
543,333,1198,0,0,0,tilt_error,82.48,0.289163,0.347519,2.038018,0.100977,0.116646,0.540988,0.03973,0.042344,0.363864,3.82,0.070874,16914.1
