episode,new_episode,steps,completed,completion_index,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
17,17,447,0,0,0,tilt_error,3.5,0.203434,0.416811,2.382959,0.086689,0.178612,0.773402,0.027285,0.057384,0.365467,3.75,0.061522,7786.64
18,18,481,0,0,0,tilt_error,2.68,0.269561,0.478904,2.381596,0.100763,0.183133,0.604107,0.025735,0.051217,0.362834,3.77,0.058553,7430.29
19,19,477,0,0,0,tilt_error,3.05,0.251825,0.476769,2.369379,0.106584,0.189913,0.633091,0.026386,0.050935,0.351546,3.77,0.048173,7449.12
20,20,482,0,0,0,tilt_error,2.77,0.242025,0.456951,2.369789,0.100821,0.175368,0.534376,0.025584,0.049964,0.35623,3.77,0.048587,7513.56
21,21,480,0,0,0,tilt_error,2.88,0.242625,0.459403,2.371647,0.102045,0.178459,0.56408,0.025829,0.050387,0.354045,3.77,0.045773,7503.27
22,22,480,0,0,0,tilt_error,2.74,0.229298,0.453752,2.368371,0.101231,0.172189,0.551268,0.025647,0.051194,0.367554,3.77,0.046688,7530.52
23,23,482,0,0,0,tilt_error,2.57,0.224493,0.447573,2.28316,0.099725,0.167654,0.523864,0.02522,0.050149,0.354739,3.77,0.043334,7560.22
24,24,473,0,0,0,tilt_error,3.12,0.394654,0.306571,1.878305,0.096311,0.163805,0.52851,0.02551,0.050341,0.35675,3.77,0.052329,5239.41
25,25,468,0,0,0,tilt_error,3.43,0.469926,0.276886,1.6729,0.099605,0.164492,0.557297,0.027052,0.05157,0.362408,3.77,0.0591,2609.97
26,26,472,0,0,0,tilt_error,2.92,0.381664,0.314541,1.947364,0.100944,0.1655,0.549914,0.027422,0.051855,0.368971,3.77,0.066387,5083.8
27,27,472,0,0,0,tilt_error,2.39,0.217234,0.450656,2.264914,0.099283,0.1731,0.589107,0.02569,0.051434,0.353464,3.77,0.056178,7608.55
28,28,468,0,0,0,tilt_error,2.56,0.238676,0.479544,2.368529,0.106249,0.185731,0.624315,0.026866,0.053778,0.358226,3.77,0.063798,7523.19
29,29,469,0,0,0,tilt_error,2.57,0.224764,0.446016,2.291891,0.102234,0.179024,0.577653,0.026184,0.052469,0.357894,3.77,0.05486,7627.54
30,30,475,0,0,0,tilt_error,2.51,0.217499,0.434879,2.268601,0.099243,0.171353,0.538612,0.025869,0.052227,0.369224,3.77,0.058539,7640.25
31,31,478,0,0,0,tilt_error,2.41,0.257182,0.434139,2.306273,0.10551,0.165134,0.54043,0.026597,0.052223,0.374564,3.77,0.059973,7428.39
32,32,483,0,0,0,tilt_error,2.11,0.25536,0.415513,2.283999,0.099501,0.152067,0.518638,0.024049,0.048503,0.352793,3.78,0.072724,7555.61
33,33,481,0,0,0,tilt_error,2.22,0.218316,0.433101,2.273296,0.094876,0.160203,0.523622,0.024124,0.050055,0.361731,3.78,0.051322,7650.86
34,34,498,0,0,0,tilt_error,5.41,0.24344,0.396264,2.273403,0.091597,0.135731,0.536206,0.023376,0.05077,0.369845,3.78,0.065194,7914.22
35,35,494,0,0,0,tilt_error,3.88,0.24949,0.40884,2.310572,0.09498,0.140141,0.529483,0.024619,0.049298,0.368476,3.78,0.064125,7737.27
36,36,475,0,0,0,tilt_error,3.16,0.354783,0.357179,2.218424,0.179306,0.159804,0.651697,0.049247,0.047118,0.351525,3.74,0.076357,4621.84
37,37,487,0,0,0,tilt_error,2.42,0.223175,0.421879,2.371409,0.091073,0.144816,0.518604,0.021915,0.048947,0.366223,3.78,0.085261,7942.11
38,38,471,0,0,0,tilt_error,2.63,0.353589,0.30334,1.992677,0.088086,0.159828,0.549898,0.024023,0.051796,0.36635,3.77,0.072835,5872.79
39,39,463,0,0,0,tilt_error,3.98,0.364463,0.289614,1.898833,0.190396,0.172106,0.792668,0.058445,0.050323,0.361302,3.71,0.077254,3775.66
40,40,472,0,0,0,tilt_error,3.1,0.279163,0.468818,2.292301,0.119643,0.196156,0.748333,0.030508,0.054249,0.362653,3.77,0.077069,7042.24
41,41,472,0,0,0,tilt_error,2.63,0.302989,0.324184,2.040404,0.104377,0.150732,0.538387,0.028634,0.051943,0.373325,3.77,0.072779,6774.62
42,42,468,0,0,0,tilt_error,3.28,0.378425,0.340504,1.993561,0.095252,0.187383,0.68462,0.026723,0.054706,0.366861,3.76,0.072924,5689.13
43,43,473,0,0,0,tilt_error,3.01,0.321317,0.463414,2.291752,0.113792,0.185378,0.680084,0.028804,0.053551,0.357627,3.76,0.083668,5973.36
44,44,180,0,0,0,tilt_error,7.25,0.885006,0.576479,1.811155,0.239809,0.175825,0.619614,0.086985,0.06961,0.355038,3.51,0.065567,-1216.72
45,45,482,0,0,0,tilt_error,2.21,0.193576,0.394914,2.270892,0.08548,0.14304,0.517306,0.023388,0.049578,0.354926,3.78,0.074194,8093.79
46,46,476,0,0,0,tilt_error,2.2,0.328488,0.291176,2.004263,0.08418,0.162068,1.57,0.022673,0.050954,0.36558,3.77,0.065969,6444.55
48,47,570,0,0,0,tilt_error,23.8,0.286155,0.343151,2.038464,0.116458,0.153271,0.616649,0.030684,0.051703,0.353151,3.78,0.062391,8149.03
49,48,563,0,0,0,heading_error,22.38,0.315491,0.433089,2.320237,0.116579,0.175145,1.035543,0.027951,0.043292,0.172675,3.78,0.055744,6794.62
50,49,571,0,0,0,tilt_error,23.96,0.330235,0.324665,2.015325,0.117964,0.170198,1.57,0.030025,0.052785,0.360177,3.78,0.057729,7358.09
52,50,570,0,0,0,tilt_error,23.37,0.544471,0.554318,2.071717,0.140112,0.150697,0.594623,0.035996,0.051549,0.361825,3.78,0.051542,3947.42
53,51,577,0,0,0,tilt_error,24.93,0.555851,0.496509,2.00163,0.107726,0.129582,0.516652,0.03331,0.054219,0.360413,3.77,0.053243,3541.87
